product_id,gender,category,sub_category,product_type,color,color_details,usage,product_title,image,price_usd,heels_height
1,men,footwear,shoes,sports shoes,black,['neon green'],sports,Adidas men eqt nitro fashion black sports shoes,1.jpg,120,
2,men,footwear,shoes,sports shoes,black,['white'],sports,Puma men's yugorun black white shoe,2.jpg,50,
3,men,footwear,shoes,boots,black,[],casual,Timberland men black casual shoes,3.jpg,60,
4,men,footwear,shoes,casual shoes,black,[],casual,Provogue men black shoes,4.jpg,125,
5,men,footwear,shoes,formal shoes,black,[],formal,Lee cooper men black shoe,5.jpg,155,
6,men,footwear,shoes,formal shoes,black,[],formal,Arrow men formal black shoe,6.jpg,180,
7,men,footwear,shoes,sports shoes,black,[],sports,Nike men's air max black shoe,7.jpg,80,
8,men,footwear,shoes,casual shoes,black,['gold'],casual,Lotto men's calcetto black brown shoe,8.jpg,175,
9,women,footwear,shoes,flats,black,['gold'],casual,Senorita women black flats,9.jpg,70,
10,women,footwear,shoes,heels,black,[],casual,Inc 5 women casual black wedges,10.jpg,160,2
11,women,footwear,shoes,casual shoes,black,['purple'],casual,Skechers women black casual shoes,11.jpg,185,
12,women,footwear,shoes,casual shoes,black,[],casual,Nike women flyclave black casual shoes,12.jpg,175,
13,women,footwear,shoes,flats,black,[],casual,Reebok women black casual shoes,13.jpg,85,
14,women,footwear,shoes,sports shoes,black,['blue'],sports,Nike women sweet ac black shoe,14.jpg,135,
15,women,footwear,shoes,heels,black,['multi'],casual,Catwalk women black wedges,15.jpg,105,1
16,women,footwear,shoes,flats,black,['brown'],casual,Rocia women black & brown flats,16.jpg,185,
17,men,footwear,shoes,sports shoes,white,['blue'],sports,Reebok men's zigfuel white shoe,17.jpg,155,
18,men,footwear,shoes,sports shoes,white,[],sports,Fila men fila boston white sports shoes,18.jpg,185,
19,men,footwear,shoes,casual shoes,white,[],casual,Nike men white capri ii casual shoe,19.jpg,155,
20,men,footwear,shoes,casual shoes,white,['blue'],casual,Numero uno men white casual shoes,20.jpg,200,
21,men,footwear,shoes,sports shoes,white,[],sports,Lotto men atlantica white sports shoe,21.jpg,170,
22,men,footwear,shoes,sports shoes,white,['black'],sports,Nike men's egoli white black shoe,22.jpg,200,
23,women,footwear,shoes,heels,white,[],casual,Catwalk women casual white heels,23.jpg,105,2
24,women,footwear,shoes,flats,white,['silver'],casual,Catwalk women casual white flats,24.jpg,75,
25,women,footwear,shoes,casual shoes,white,['blue'],casual,Puma women trinity white checked canvas shoes,25.jpg,120,
26,women,footwear,shoes,casual shoes,white,['black'],casual,Adidas women's piona white shoe,26.jpg,50,
27,women,footwear,shoes,flats,white,[],casual,Clarks women white leather flats,27.jpg,175,
28,women,footwear,shoes,sports shoes,white,['blue'],sports,Nike women main draw white blue shoe,28.jpg,65,
29,women,footwear,shoes,sports shoes,white,['teal'],sports,Adidas women white bolt sports shoes,29.jpg,185,
30,women,footwear,shoes,flats,white,['brown'],casual,Rocia women white & brown sandals,30.jpg,125,
31,men,footwear,shoes,sports shoes,blue,['yellow'],sports,Adidas men's canon dialect blue yellow shoe,31.jpg,55,
32,men,footwear,shoes,sports shoes,blue,['multi'],sports,Puma men faas 300 blue sports shoes,32.jpg,200,
33,men,footwear,shoes,casual shoes,blue,[],casual,Lee cooper men's lc casual denim blue shoe,33.jpg,165,
34,men,footwear,shoes,casual shoes,blue,['white'],casual,Skechers men blue shoes,34.jpg,195,
35,men,footwear,shoes,sports shoes,blue,['white'],sports,Asics men gel ds sky speed 2 running blue sports shoes,35.jpg,180,
36,men,footwear,shoes,sports shoes,blue,['red'],sports,Adidas men blue & red f10 sports shoes,36.jpg,65,
37,women,footwear,shoes,flats,blue,[],casual,Catwalk women casual blue flats,37.jpg,90,
38,women,footwear,shoes,heels,blue,['pink'],casual,Cobblerz blue womens wedges,38.jpg,110,2
39,women,footwear,shoes,flats,blue,[],casual,Catwalk women blue casual flats,39.jpg,180,
40,women,footwear,shoes,casual shoes,turquoise blue,[],casual,Catwalk women turquoise casual shoes,40.jpg,65,
41,women,footwear,shoes,flats,blue,['multi'],casual,Catwalk women blue casual flats,41.jpg,95,
42,women,footwear,shoes,sports shoes,blue,[],sports,Adidas women clima motionwave blue sports shoes,42.jpg,200,
43,women,footwear,shoes,sports shoes,blue,[],sports,Nike women zoo blue shoe,43.jpg,85,
44,women,footwear,shoes,casual shoes,blue,['white'],sports,Nike women ten blue white shoe,44.jpg,65,
45,men,footwear,shoes,sports shoes,red,['black'],sports,Nike men jordan fly wade red sports shoes,45.jpg,55,
46,men,footwear,shoes,sports shoes,pink,[],sports,Nike men's mercurial vic pink shoe,46.jpg,200,
47,men,footwear,shoes,casual shoes,red,[],casual,Basics men red casual shoes,47.jpg,105,
48,men,footwear,shoes,casual shoes,red,['black'],casual,Fila men leonard red shoes,48.jpg,90,
49,men,footwear,shoes,sports shoes,red,['black'],sports,Nike men air quick handle red sports shoe,49.jpg,160,
50,men,footwear,shoes,sports shoes,red,['pink'],sports,Nike men's mercurial gli red pink shoe,50.jpg,100,
51,women,footwear,shoes,flats,red,[],casual,Catwalk women red flats,51.jpg,170,
52,women,footwear,shoes,heels,brown,[],casual,Senorita women brown wedges,52.jpg,175,2
53,women,footwear,shoes,casual shoes,red,[],casual,Carlton london women casual red casual shoes,53.jpg,90,
54,women,footwear,shoes,casual shoes,red,[],casual,Catwalk women red shoes,54.jpg,75,
55,women,footwear,shoes,flats,red,[],casual,Clarks women silvi spice raspberry leather red flats,55.jpg,100,
56,women,footwear,shoes,heels,red,[],formal,Carlton london women casual red stilettos,56.jpg,175,3
57,women,footwear,shoes,heels,red,['black'],casual,Carlton london women red & black heels,57.jpg,95,2
58,men,footwear,shoes,casual shoes,green,['red'],casual,Flying machine men casual green casual shoes,58.jpg,105,
59,men,footwear,shoes,casual shoes,green,['black'],casual,Gas men skate green casual shoes,59.jpg,200,
60,men,footwear,shoes,casual shoes,green,['white'],casual,Flying machine men casual green casual shoes,60.jpg,100,
61,men,footwear,shoes,casual shoes,green,['grey'],casual,Vans men green & grey era shoes,61.jpg,50,
62,women,footwear,shoes,heels,brown,[],casual,Catwalk women brown heels,62.jpg,155,2
63,women,footwear,shoes,flats,green,[],casual,Portia women green sandals,63.jpg,75,
64,women,footwear,shoes,sport shoes,green,['white'],casual,Skechers women green shoe,64.jpg,175,
65,women,footwear,shoes,casual shoes,green,[],casual,Puma women green supersuede eco casual shoes,65.jpg,195,
66,women,footwear,shoes,flats,green,[],casual,Senorita women green sandals,66.jpg,70,
67,women,footwear,shoes,sports shoes,turquoise blue,[],sports,Nike women free run+ 3 green sports shoes,67.jpg,85,
68,women,footwear,shoes,flats,green,[],casual,Senorita women green flats,68.jpg,140,
69,women,footwear,shoes,flats,multi,['brown'],casual,Rocia women multi- coloured shoes,69.jpg,130,
70,men,footwear,shoes,casual shoes,brown,[],sports,Force 10 men brown shoes,70.jpg,55,
71,men,footwear,shoes,formal shoes,brown,[],casual,Red tape men brown shoes,71.jpg,85,
72,men,footwear,shoes,casual shoes,brown,[],casual,Carlton london men brown shoes,72.jpg,160,
73,men,footwear,shoes,formal shoes,brown,[],formal,Enroute men leather brown formal shoes,73.jpg,70,
74,men,footwear,shoes,formal shoes,brown,[],formal,Enroute men leather brown formal shoes,74.jpg,70,
75,men,footwear,shoes,casual shoes,brown,[],casual,Skechers men usa brown shoe,75.jpg,50,
76,men,footwear,shoes,casual shoes,brown,[],casual,Red tape men casual brown casual shoes,76.jpg,180,
77,women,footwear,shoes,heels,brown,[],casual,Catwalk women brown heels,77.jpg,75,1
78,women,footwear,shoes,heels,brown,['multi'],casual,Catwalk women bronze brown heels,78.jpg,70,1
79,women,footwear,shoes,boots,brown,[],casual,Timberland women femmes brown boot,79.jpg,100,
80,women,footwear,shoes,casual shoes,brown,['blue'],casual,Gliders women brown shoes,80.jpg,75,
81,women,footwear,shoes,flats,brown,[],casual,Hm women brown shoes,81.jpg,155,
82,women,footwear,shoes,flats,brown,[],casual,Catwalk women brown sandals,82.jpg,50,
83,women,footwear,shoes,heels,brown,"['teal', 'multi']",casual,Cobblerz women teal blue & brown wedges,83.jpg,190,2
84,women,footwear,shoes,flats,turquoise blue,[],casual,Enroute women turquoise blue flats,84.jpg,90,
85,women,footwear,shoes,flats,turquoise blue,[],casual,Clarks women santa rock turquoise blue flats,85.jpg,180,